state,year,total_households,median_income_household,median_income_family,median_income_married,median_income_nonfamily,mean_income_household,mean_income_family,mean_income_married,mean_income_nonfamily
RHODE ISLAND,2016,410240,58387,75655,93371,33407,79024,95033,113357,49079
SOUTH CAROLINA,2016,1839041,46898,58158,72386,27613,64115,75385,90142,39592
SOUTH DAKOTA,2016,333536,52078,66825,77139,31112,68419,82370,93769,40940
TENNESSEE,2016,2522204,46574,57747,70066,27636,65368,77112,90455,39913
TEXAS,2016,9289554,54727,64585,79930,34543,77585,88231,104140,49896
UTAH,2016,918367,62518,71058,78302,35780,79414,88127,96125,48660
VERMONT,2016,257107,56104,71465,82247,33129,73016,88340,99828,45257
VIRGINIA,2016,3090178,66149,80068,95215,40812,90881,105488,121766,57852
WASHINGTON,2016,2696606,62848,76507,88592,39131,84022,98185,111389,54528
WEST VIRGINIA,2016,739397,42644,54409,63984,23756,57779,68895,78693,35006
WISCONSIN,2016,2310246,54610,69925,80798,32060,71459,85975,97913,43382
WYOMING,2016,226985,59143,73654,83196,33857,74667,86557,96248,49100
ALABAMA,2017,1856695,46472,59115,73402,25802,64476,77153,91953,37491
ALASKA,2017,252536,76114,88949,103132,49522,94469,105989,120252,65398
ARIZONA,2017,2482311,53510,63812,76431,34489,73735,84851,98219,48975
